sample	arm	tcn	lcn	cn_length	arm_length	frac_of_arm	cn_state
MDL18-1935	1p	5	0	11637090	12869218	0.9	CNLOH BEFORE & GAIN
MDL18-1935	3p	4	2	92016116	92016116	1	TETRAPLOID
MDL18-1935	4p	4	2	40731106	40731106	1	TETRAPLOID
MDL18-1935	4q	4	2	135471051	139330301	0.97	TETRAPLOID
MDL18-1935	5p	5	2	13449853.5	13449853.5	1	GAIN
MDL18-1935	8p	5	2	17439604.5	17439604.5	1	GAIN
MDL18-1935	8q	5	2	85891851.5	99970604.5	0.86	GAIN
MDL18-1935	13q	4	2	66142295	74665656	0.89	TETRAPLOID
MDL18-1935	14q	4	2	39333400	42418368	0.93	TETRAPLOID
MDL18-1935	15q	4	2	39481600	39481600	1	TETRAPLOID
MDL18-1935	18p	4	2	7610752.5	7610752.5	1	TETRAPLOID
MDL18-1935	18q	4	2	62086347.5	62086347.5	1	TETRAPLOID
MDL18-1935	19p	4	0	25344327	25728887	0.99	CNLOH BEFORE
MDL18-1935	20p	4	2	24935400	28148990	0.89	TETRAPLOID
MDL18-1935	23p	2	0	60224960.5	60224960.5	1	LOSS BEFORE
MDL18-1935	23q	2	0	80126402.5	93398611.5	0.86	LOSS BEFORE
