Sample	Chromosome	Start_position	End_position	Num_markers	Seg.CN
X103	1	17000	19184200	4474	0.132181734977995
X103	1	19185300	27686900	2175	-0.617528876200444
X103	1	27727600	55051300	5415	0.13226647447872
X103	1	55052400	109075000	3817	0.237486086525349
X103	1	109075686	119896000	1868	0.151987780442143
X103	1	119896200	167836539	5934	0.110595031044255
X103	1	167837200	248858600	9898	0.172148924566012
X103	2	14400	17817100	1140	-0.485569667538349
X103	2	17931200	102381700	8860	0.185361733651946
X103	2	102384942	104379700	92	0.10516697733035
X103	2	104771800	170956500	5455	-0.530981988947884
X103	2	170961700	215422298	4771	0.236485316515485
X103	2	215423400	233481400	2831	0.107172194676852
X103	2	233485700	233867100	208	0.174510167718151
X103	2	233926457	237553681	310	0.624796312509564
X103	2	237566510	241253600	892	0.0755674130463424
X103	3	197800	141487200	14850	0.178764007758391
X103	3	141512200	183806743	2811	0.265875259707493
X103	3	183806900	197960603	2093	0.177401876508087
X103	4	53400	68479000	4806	-0.532365678722253
X103	4	68496800	68654100	14	-1.37880257080462
X103	4	68654300	190060400	7927	-0.503967382188595
X103	5	140300	677900	186	-0.529300830551843
X103	5	710700	1421900	289	0.205112936747549
X103	5	1422100	2755300	90	-0.411695490661425
X103	5	3508900	51393500	2481	0.204786842395568
X103	5	51393700	69635100	1213	-0.503452771600466
X103	5	69635400	71082800	49	-1.54945671396433
X103	5	71093000	120464700	3033	-0.481068947610183
X103	5	120686124	139329200	1883	0.17121280279864
X103	5	139363900	167285200	3524	-0.564622809920787
X103	5	167375200	175926622	818	0.112031170772973
X103	5	175965003	180902600	1353	0.519979649990319
X103	6	106100	29356200	2459	0.2142156986661
X103	6	29374600	44307300	4798	0.114165348448125
X103	6	44307500	129861200	5543	0.22414898933414
X103	6	130042800	170640200	3851	-0.521530793257277
X103	7	19700	32298800	3123	-0.551464753630888
X103	7	32471900	77059400	3780	0.115858970014577
X103	7	77084000	97987300	1539	0.243477259142007
X103	7	97988400	108502600	2587	0.154988884295417
X103	7	108514200	159117420	5316	0.604121274193621
X103	8	166700	20255200	1402	-0.535011136451121
X103	8	20934800	64373400	3632	0.166090926307272
X103	8	64377500	145054200	6210	-0.490640177667124
X103	9	12200	2654000	236	0.114706962385009
X103	9	2717700	2875600	32	1.07193212886936
X103	9	3225100	6331000	311	0.224154504011944
X103	9	6413600	16665100	481	-0.521916834110618
X103	9	16685500	113112833	6442	0.171361036142247
X103	9	113113100	137366430	5824	0.117466080955847
X103	9	137366700	138233847	330	0.112925094846978
X103	10	84700	38982300	3131	-0.531028525080582
X103	10	42410100	71213000	2457	0.143084732060032
X103	10	71279700	104842779	4987	-0.576268995207657
X103	10	104915800	133659700	2975	0.116835498822904
X103	11	130800	28330600	4678	-0.568058259319664
X103	11	30010800	43920100	834	0.266420210323466
X103	11	43925500	82850300	8055	0.127190583663916
X103	11	82853300	96093600	1061	0.236158008151792
X103	11	98565300	115505009	1667	0.726264496001422
X103	11	115950214	126681900	2416	0.606472278256365
X103	11	126995100	130198390	275	0.10534151283266
X103	11	130198659	134487876	389	0.575849521931565
X103	12	67000	9443500	2315	0.11657563640789
X103	12	9480700	16990800	861	0.234445566853971
X103	12	16991100	19500300	125	-0.389795246177576
X103	12	19512400	47711600	2080	0.247331298190925
X103	12	47711900	58883000	4282	0.0981500563029653
X103	12	58883600	107543991	3815	0.223316993034926
