sample	arm	tcn	lcn	cn_length	arm_length	frac_of_arm	cn_state
MDL17-2416	2p	5	2	5959451	5959451	1	GAIN
MDL17-2416	4p	0	0	148800	148800	1	HOMDEL
MDL17-2416	5q	4	2	92734242	109695832	0.85	TETRAPLOID
MDL17-2416	7q	4	2	49191981	59213871	0.83	TETRAPLOID
MDL17-2416	8p	1	0	216100	216100	1	LOSS BEFORE & AFTER
MDL17-2416	8q	5	2	54797797	64666045	0.85	GAIN
MDL17-2416	9p	3	0	44441996.5	44441996.5	1	CNLOH BEFORE & LOSS
MDL17-2416	9q	3	0	83354011.5	92436951.5	0.9	CNLOH BEFORE & LOSS
MDL17-2416	10q	5	2	28614201	33115601	0.86	GAIN
MDL17-2416	11q	5	2	62679777	68564140	0.91	GAIN
MDL17-2416	12p	5	2	19371629.5	19378629.5	1	GAIN
MDL17-2416	13q	3	1	84517658	96085058	0.88	LOSS AFTER
MDL17-2416	14q	4	2	87982755	88227990	1	TETRAPLOID
MDL17-2416	16p	3	0	35531600	37097561.5	0.96	CNLOH BEFORE & LOSS
MDL17-2416	17p	3	1	21153800	24577262.5	0.86	LOSS AFTER
MDL17-2416	18p	3	0	18113652.5	18113652.5	1	CNLOH BEFORE & LOSS
MDL17-2416	18q	3	0	62086347.5	62086347.5	1	CNLOH BEFORE & LOSS
MDL17-2416	20p	6	0	23660200	28075517	0.84	AMP (LOH)
MDL17-2416	20q	4	2	34683174	35747395	0.97	TETRAPLOID
MDL17-2416	21q	5	2	33887376	34787848	0.97	GAIN
MDL17-2416	23p	2	0	51479760.5	57755160.5	0.89	LOSS BEFORE
MDL17-2416	23q	2	0	93152893.5	93267273.5	1	LOSS BEFORE
