sample	arm	tcn	lcn	cn_length	arm_length	frac_of_arm	cn_state
MDL18-473	1p	2	1	100133191.5	123462591.5	0.81	DIPLOID
MDL18-473	1q	2	1	122324257.5	125261255.5	0.98	DIPLOID
MDL18-473	2p	1	0	4253551	4253551	1	HETLOSS
MDL18-473	2q	2	1	135778185	147891088	0.92	DIPLOID
MDL18-473	3q	2	1	94959497	105479483	0.9	DIPLOID
MDL18-473	4p	2	1	40742106	50637506	0.8	DIPLOID
MDL18-473	4q	2	1	135559794	139331894	0.97	DIPLOID
MDL18-473	5q	2	1	124906275.5	129623558.5	0.96	DIPLOID
MDL18-473	6q	2	1	95747917	105283597	0.91	DIPLOID
MDL18-473	7p	1	0	9700436.5	9700436.5	1	HETLOSS
MDL18-473	8q	2	1	97586593.5	100098239.5	0.97	DIPLOID
MDL18-473	9p	2	1	44281996.5	44439496.5	1	DIPLOID
MDL18-473	9q	2	1	83440092.5	93739715.5	0.89	DIPLOID
MDL18-473	10q	2	1	30998884	35130578	0.88	DIPLOID
MDL18-473	11p	2	1	49530011	52618211	0.94	DIPLOID
MDL18-473	11q	2	1	81390492	82230606	0.99	DIPLOID
MDL18-473	13q	2	1	84521009	96117591	0.88	DIPLOID
MDL18-473	15q	2	1	69274506	82070006	0.84	DIPLOID
MDL18-473	16p	2	1	30363359	35067259	0.87	DIPLOID
MDL18-473	17q	2	1	51972705	58472878.5	0.89	DIPLOID
MDL18-473	18p	2	1	18113652.5	18113652.5	1	DIPLOID
MDL18-473	18q	2	1	62085909.5	62085909.5	1	DIPLOID
MDL18-473	19p	1	0	25734210	25734210	1	HETLOSS
MDL18-473	20p	2	1	25188344	28148534	0.89	DIPLOID
MDL18-473	20q	2	1	29086448	36005170	0.81	DIPLOID
MDL18-473	21q	2	1	32390000	34787348	0.93	DIPLOID
MDL18-473	23p	2	1	60224960.5	60224960.5	1	DIPLOID
MDL18-473	23q	2	1	93165212.5	95504507.5	0.98	DIPLOID
