sample	arm	tcn	lcn	cn_length	arm_length	frac_of_arm	cn_state
X2816	1p	1	0	86460400	106920255.5	0.81	HETLOSS
X2816	1q	2	1	125457008.5	125457008.5	1	DIPLOID
X2816	2p	2	1	18834851	18834851	1	DIPLOID
X2816	2q	2	1	148114115	148114115	1	DIPLOID
X2816	4p	2	0	50674806	50674806	1	CNLOH
X2816	4q	2	0	139384494	139384494	1	CNLOH
X2816	5p	1	0	2263953.5	2263953.5	1	HETLOSS
X2816	7p	1	0	17857200	17857200	1	HETLOSS
X2816	8p	1	0	35611500	35611500	1	HETLOSS
X2816	9q	2	0	56566255	56566255	1	CNLOH
X2816	11p	1	0	48758100	48758100	1	HETLOSS
X2816	11q	3	1	69899498	69899498	1	GAIN
X2816	12q	2	1	66689791	68143991	0.98	DIPLOID
X2816	13q	3	0	95840751	96136951	1	CNLOH & GAIN
X2816	14q	2	1	83841646	83841646	1	DIPLOID
X2816	15q	2	0	82097400	82097400	1	CNLOH
X2816	16q	0	0	50103985.5	52863548.5	0.95	HOMDEL
X2816	17q	2	0	57238796.5	57632625.5	0.99	CNLOH
X2816	18p	3	1	18113652.5	18113652.5	1	GAIN
X2816	18q	1	0	56463000	62085947.5	0.91	HETLOSS
X2816	21q	3	0	30950700	32579021	0.95	CNLOH & GAIN
X2816	22q	1	0	36794547	36794547	1	HETLOSS
X2816	23p	1	0	60224960.5	60224960.5	1	HETLOSS
X2816	23q	1	0	95519039.5	95519039.5	1	HETLOSS
