sample	arm	tcn	lcn	cn_length	arm_length	frac_of_arm	cn_state
MDL17-1897	2p	1	0	4745751	4745751	1	HETLOSS
MDL17-1897	2q	2	1	128268305	145661938	0.88	DIPLOID
MDL17-1897	3q	2	1	97410496	104731851	0.93	DIPLOID
MDL17-1897	4q	2	1	129264490	134142122	0.96	DIPLOID
MDL17-1897	5p	1	0	3955200	3955200	1	HETLOSS
MDL17-1897	5q	2	1	103039045	110973980	0.93	DIPLOID
MDL17-1897	6p	2	1	27106111	27194611	1	DIPLOID
MDL17-1897	6q	2	1	111446724	111446724	1	DIPLOID
MDL17-1897	7p	1	0	11370436.5	11370436.5	1	HETLOSS
MDL17-1897	8q	2	1	96237947.5	99573498.5	0.97	DIPLOID
MDL17-1897	9p	1	0	8226996.5	8226996.5	1	HETLOSS
MDL17-1897	10p	1	0	3110000	3110000	1	HETLOSS
MDL17-1897	11p	1	0	13836911	14286411	0.97	HETLOSS
MDL17-1897	11q	2	1	44806949	51498838	0.87	DIPLOID
MDL17-1897	12p	1	0	277100	277100	1	HETLOSS
MDL17-1897	13q	2	1	91749436	95986159	0.96	DIPLOID
MDL17-1897	16q	2	1	40129559	43378269	0.93	DIPLOID
MDL17-1897	17p	2	1	19614664	23454299.5	0.84	DIPLOID
MDL17-1897	17q	2	1	47039842	55920785.5	0.84	DIPLOID
MDL17-1897	18p	2	1	18113652.5	18113652.5	1	DIPLOID
MDL17-1897	18q	2	1	62086347.5	62086347.5	1	DIPLOID
MDL17-1897	19p	1	0	22279347	25724120	0.87	HETLOSS
MDL17-1897	19q	2	1	27580548	32640665	0.84	DIPLOID
MDL17-1897	20p	2	1	26015700	28139069	0.92	DIPLOID
MDL17-1897	23p	1	0	59702960.5	60040560.5	0.99	HETLOSS
MDL17-1897	23q	1	0	95044777.5	95481902.5	1	HETLOSS
