sample	arm	tcn	lcn	cn_length	arm_length	frac_of_arm	cn_state
MDL18-2281	1p	4	2	60386400	71481311	0.84	TETRAPLOID
MDL18-2281	3p	5	2	25751516	25751516	1	GAIN
MDL18-2281	4p	0	0	69700	69700	1	HOMDEL
MDL18-2281	4q	4	2	124565470	128462638	0.97	TETRAPLOID
MDL18-2281	6p	4	2	25766211	25766211	1	TETRAPLOID
MDL18-2281	6q	4	2	98035266	108227864	0.91	TETRAPLOID
MDL18-2281	8q	5	2	72139282	85134895	0.85	GAIN
MDL18-2281	13q	4	2	88920900	94940435	0.94	TETRAPLOID
MDL18-2281	14q	4	2	39498900	43263802	0.91	TETRAPLOID
MDL18-2281	15q	5	2	17134357	20263382	0.85	GAIN
MDL18-2281	16p	5	0	27122477	28947777	0.94	CNLOH BEFORE & GAIN
MDL18-2281	18p	5	0	18113652.5	18113652.5	1	CNLOH BEFORE & GAIN
MDL18-2281	18q	4	2	53647800	62077952.5	0.86	TETRAPLOID
MDL18-2281	23q	3	1	48030324	53698449	0.89	LOSS AFTER
