sample	arm	tcn	lcn	cn_length	arm_length	frac_of_arm	cn_state
MDL17-2054	3p	6	0	37424116	37424116	1	AMP (LOH)
MDL17-2054	4p	6	0	40731106	40731106	1	AMP (LOH)
MDL17-2054	4q	6	0	132533331	139330374	0.95	AMP (LOH)
MDL17-2054	6p	6	0	14880511	14880511	1	AMP (LOH)
MDL17-2054	6q	6	0	100612616	110495625	0.91	AMP (LOH)
MDL17-2054	8q	7	1	82411900	92759849	0.89	AMP
MDL17-2054	11p	1	0	450500	450500	1	LOSS BEFORE & AFTER
MDL17-2054	15q	5	1	36443600	39673014	0.92	LOSS & GAIN
MDL17-2054	16p	5	2	25692169	31166669	0.82	GAIN
MDL17-2054	18p	5	0	18113652.5	18113652.5	1	CNLOH BEFORE & GAIN
MDL17-2054	18q	5	0	62086347.5	62086347.5	1	CNLOH BEFORE & GAIN
MDL17-2054	19p	4	2	20054259	24434259	0.82	TETRAPLOID
MDL17-2054	20p	5	0	28141628	28141628	1	CNLOH BEFORE & GAIN
MDL17-2054	23p	6	1	5056560.5	5056560.5	1	AMP
