sample	arm	tcn	lcn	cn_length	arm_length	frac_of_arm	cn_state
MDL16-3681	1p	6	2	70195887	72596625	0.97	AMP
MDL16-3681	3p	5	2	3266116	3266116	1	GAIN
MDL16-3681	4p	0	0	195100	195100	1	HOMDEL
MDL16-3681	4q	3	0	105690800	120774100	0.88	CNLOH BEFORE & LOSS
MDL16-3681	6p	4	0	7141711	7141711	1	CNLOH BEFORE
MDL16-3681	6q	4	0	94539674	111423281	0.85	CNLOH BEFORE
MDL16-3681	7p	1	0	4647600	4664700	1	LOSS BEFORE & AFTER
MDL16-3681	8q	4	0	35272926	43451593	0.81	CNLOH BEFORE
MDL16-3681	9p	3	0	44441996.5	44441996.5	1	CNLOH BEFORE & LOSS
MDL16-3681	9q	3	0	87428504.5	91334590.5	0.96	CNLOH BEFORE & LOSS
MDL16-3681	10q	4	0	28743935	34618614	0.83	CNLOH BEFORE
MDL16-3681	12q	3	0	49177811	58560142	0.84	CNLOH BEFORE & LOSS
MDL16-3681	13q	5	0	87567400	87567400	1	CNLOH BEFORE & GAIN
MDL16-3681	14q	6	3	77452900	80570495	0.96	AMP (BALANCED)
MDL16-3681	15q	3	1	80109500	81704800	0.98	LOSS AFTER
MDL16-3681	16p	4	0	23312700	28859078	0.81	CNLOH BEFORE
MDL16-3681	17p	4	1	21219048	21219048	1	CNLOH AFTER
MDL16-3681	18p	6	3	18113652.5	18113652.5	1	AMP (BALANCED)
MDL16-3681	20p	4	0	24701990	24701990	1	CNLOH BEFORE
MDL16-3681	21q	4	1	28686470	33291662	0.86	CNLOH AFTER
MDL16-3681	23p	2	0	60224960.5	60224960.5	1	LOSS BEFORE
MDL16-3681	23q	2	0	95474863.5	95474863.5	1	LOSS BEFORE
