sample	arm	tcn	lcn	cn_length	arm_length	frac_of_arm	cn_state
MDL17-2917	1p	6	3	18540943	18540943	1	AMP (BALANCED)
MDL17-2917	3p	4	2	38972816	38972816	1	TETRAPLOID
MDL17-2917	4p	6	3	40731106	40731106	1	AMP (BALANCED)
MDL17-2917	4q	6	3	137415713	137415713	1	AMP (BALANCED)
MDL17-2917	5p	6	3	15885353.5	15925453.5	1	AMP (BALANCED)
MDL17-2917	6p	4	2	28305911	28305911	1	TETRAPLOID
MDL17-2917	8p	4	2	21587504.5	21587504.5	1	TETRAPLOID
MDL17-2917	10q	6	0	62912214	66037174	0.95	AMP (LOH)
MDL17-2917	11p	1	0	241800	241800	1	LOSS BEFORE & AFTER
MDL17-2917	13q	4	2	88738700	94758235	0.94	TETRAPLOID
MDL17-2917	15q	5	2	26374577	28097477	0.94	GAIN
MDL17-2917	16p	4	2	34774413.5	34798513.5	1	TETRAPLOID
MDL17-2917	16q	4	2	50297226.5	52679764.5	0.95	TETRAPLOID
MDL17-2917	18p	6	3	18113652.5	18113652.5	1	AMP (BALANCED)
MDL17-2917	18q	6	3	62086347.5	62086347.5	1	AMP (BALANCED)
MDL17-2917	19p	4	2	16562488	20596918	0.8	TETRAPLOID
MDL17-2917	20p	4	2	21628518	24457808	0.88	TETRAPLOID
MDL17-2917	21q	6	3	28006463	32736021	0.86	AMP (BALANCED)
MDL17-2917	23p	2	0	60224960.5	60224960.5	1	LOSS BEFORE
MDL17-2917	23q	2	0	93263227.5	94169944.5	0.99	LOSS BEFORE
