cytoband	6p22.2	1q21.1	5q31.3	20q13.2	6q21	11q13.1	14q13.3	17q23.3	12p12.1	3q29	7q31.2	21q22.11	8q24.13	8p23.1	13q33.1	3q21.3	4q31.21	7q36.1	11q14.2	15q25.3	10q21.2	15q26.3	5p13.2	19q13.33	12q14.3	16p13.13	12q13.11	2q31.2	3q25.1	2q24.2	14q11.2	17q21.2	16q13	16q24.1	19q12	5p15.33	4q28.1	21q22.3	9q33.2	9p22.3	10q25.1	21q11.2	5q22.3	19q13.12	
q value	3.2634e-18	4.8443e-13	1.9685e-13	1.6988e-09	3.376e-08	9.7638e-12	1.2631e-06	2.6022e-07	6.8886e-06	1.926e-07	2.3419e-05	3.4805e-06	9.1033e-05	0.00066977	0.0015495	0.0011727	0.0016355	0.00030827	0.0014536	0.00066977	0.0054304	0.0084757	0.021577	0.023949	0.012536	0.058439	0.045365	0.010697	0.029531	0.037542	0.0064763	0.0013396	0.058439	0.021577	0.072683	0.080254	0.027599	0.0064763	0.15923	0.168	0.082936	0.036009	0.025763	0.11744	
residual q value	3.2634e-18	4.8443e-13	2.7929e-12	1.6988e-09	3.376e-08	2.6859e-06	4.3847e-06	5.8651e-06	6.8886e-06	1.2081e-05	6.1662e-05	7.6488e-05	9.1033e-05	0.00066977	0.0015495	0.0054304	0.0057215	0.0064763	0.0081434	0.0081434	0.0092712	0.018719	0.033335	0.046188	0.04776	0.058439	0.058851	0.068182	0.070108	0.082529	0.086622	0.097793	0.12261	0.13595	0.13595	0.13792	0.14333	0.14459	0.15923	0.168	0.17475	0.20514	0.24088	0.52582	
wide peak boundaries	chr6:25967001-26246999	chr1:145906301-146069499	chr5:140841615-140863399	chr20:53571701-53885539	chr6:106234222-106525299	chr11:65460851-65536399	chr14:36152979-37600349	chr17:64493001-64536699	chr12:25201387-25648399	chr3:195774401-195780565	chr7:116886142-116958599	chr21:33534601-33573472	chr8:125067143-125436180	chr8:12024573-12186599	chr13:102737518-102747899	chr3:129421517-129449810	chr4:143406336-143469262	chr7:150617989-150701934	chr11:85588802-86384896	chr15:85257514-85736199	chr10:54359543-67190174	chr15:100479501-100570096	chr5:34786174-49658399	chr19:48196501-48233299	chr12:64309311-66117688	chr16:11462006-11915499	chr12:43733279-47718299	chr2:178735922-178767799	chr3:149764188-149855587	chr2:159468533-159791761	chr14:19678301-19975799	chr17:40880862-40960475	chr16:56408155-56509848	chr16:84657828-84759654	chr19:27953568-31650139	chr5:433138-19731190	chr4:124436301-125320179	chr21:41907009-42076163	chr9:121025501-121291379	chr9:15685582-16692399	chr10:104078801-104218822	chr21:14374201-17796899	chr5:115811137-115962613	chr19:1-58617616	
genes in wide peak	HIST1H1C	ITGA10	PCDHA9	ZNF217	AIM1	SCYL1	FOXA1	DDX5	KRAS	MUC4	CAPZA2	GART	KIAA0196	FAM86B1	CCDC168	MBD4	GAB1	GIMAP2	DLG2	AKAP13	ANK3	LINS1	hsa-mir-1274a	CARD8	GNS	GSPT1	NELL2	TTN	RNF13	CD302	OR4K5	KRT23	AMFR	USP10	CCNE1	ADCY2	ANKRD50	C2CD2	C5	BNC2	COL17A1	CXADR	CDO1	hsa-mir-1274b	
	HIST1H1D	PEX11B	PCDHA10	SUMO1P1	ATG5	MALAT1	PAX9	POLG2	ETFRF1		ST7	SON	TRIB1	DEFB130		IFT122		GIMAP6	PICALM	MIR7706	ANXA2P3	CERS3	C6	C19orf68	HMGA2	SNN	TWF1		ANKUB1	BAZ2B	OR11H2	KRT20	BBS2	KLHL36	UQCRFS1	CDH18	FAT4	ZBTB21	GSN	CCDC171	CFAP43	HSPA13	AP3S1	hsa-mir-643	
	HIST1H1E	RBM8A	PCDHA8	LOC101927770	LOC105377924		NKX2-1	CEP95	LMNTD1		ST7-AS1	MIR6501	NSMCE2	USP17L2		EFCAB12			EED		CDK1	PRKXP1	C7		WIF1	LITAF	ENDOU			MARCH7	OR4K1	KRT39	NUDT21		URI1	CTNND2	LOC101927087	UMODL1	CNTRL	C9orf92	SFR1	NRIP1	ATG12	hsa-mir-220c	
	HIST1H1T	TXNIP	PCDHA7	LOC105372672			NKX2-8	MIR3064			ST7-OT4			LOC392196					HIKESHI		EGR2	LOC102723335	C9		XPOT	RSL1D1	SCAF11			LOC643072	OR4K15		OGFOD1		ZNF536	DAP		ZNF295-AS1	RAB14		MIR609	BTG3	LVRN	hsa-mir-1270-1	
	HIST1H2AE	POLR3GL	PCDHA6				MBIP	MIR5047						USP17L7					SYTL2		TFAM		DAB2		TBC1D30	ZC3H7A	PLEKHA8P1			LY75-CD302	OR4N2				POP4	DNAH5		SNORA91	GSN-AS1			USP25		hsa-mir-220b	
	HIST1H2AD	GNRHR2	PCDHA5				SLC25A21							ZNF705D					TMEM126B		UBE2D1		FGF10		LEMD3	TXNDC11	IRAK4				OR4K2				TSHZ3	MTRR						C21orf91		A1BG	
	HIST1H2BD	LIX1L	PCDHA4				MIPOL1							FAM90A2P					CREBZF		CCDC6		FYB		TBK1	BCAR4	SLC38A2				OR4Q3				PLEKHF1	MYO10						SAMSN1		ACP5	
	HIST1H2BB	HFE2	PCDHA3				SFTA3							FAM66D					CCDC81		RHOBTB1		GDNF		C12orf56	LOC101927131	SLC38A4				OR4M1				C19orf12	NDUFS6						C21orf91-OT1		ACTN4	
	HIST1H1A	ANKRD34A	PCDHA2				TTC6												TMEM126A		ZWINT		GHR		RPSAP52		RPAP3								LINC00906	SLC6A3						LOC388813		AP2A1	
	HFE	NBPF10	PCDHA1				SLC25A21-AS1												CCDC83		ZNF365		HMGCS1		MSRB3		SLC38A1								LOC284395	SLC9A3						MIR99AHG		AES	
	HIST1H2AC	LOC101928979					NKX2-1-AS1												CCDC89		CTNNA3		IL7R		RASSF3		PUS7L								VSTM2B	SRD5A1						MIRLET7C		AKT2	
	HIST1H2AB	RNVU1-6					MIR4503												MIR6755		NRBF2		LIFR		FLJ41278		RACGAP1P								LOC100420587	TERT						MIR125B2		AMH	
	HIST1H2BG						PTCSC3														CISD1		OXCT1		MIR548C		TMEM117								LINC01532	TRIO						MIR99A		APLP1	
