sample	gene	chrom	gene_start	gene_end	tsg	seg	median_cnlr_seg	segclust	seg_start	seg_end	cf.em	tcn.em	lcn.em	cf	tcn	lcn	seg_length	mcn	genes_on_seg	gene_snps	gene_het_snps	spans_segs	cn_state	filter
X3349	A1BG	19	58345178	58353499	FALSE	486	0.0466659410557964	30	58243900	58582800	1	2	1	1	2	1	338900	1	22	11	0	FALSE	DIPLOID	PASS
X3349	A1CF	10	50799409	50885675	FALSE	256	0.0935497881453106	34	46837400	67797100	NA	2	NA	NA	2	NA	20959700	NA	68	20	0	FALSE	DIPLOID or CNLOH	PASS
X3349	A2M	12	9067664	9116229	FALSE	290	0.0604572307755036	34	9009100	31386300	NA	2	NA	NA	2	NA	22377200	NA	159	56	0	FALSE	DIPLOID or CNLOH	PASS
X3349	A2ML1	12	8822472	8887001	FALSE	289	-0.0992699517905603	23	7652500	9008800	NA	2	NA	NA	2	NA	1356300	NA	25	47	0	FALSE	DIPLOID or CNLOH	PASS
X3349	A3GALT2	1	33306766	33321098	FALSE	6	0.00988512288950373	29	19174900	43425100	NA	2	NA	NA	2	NA	24250200	NA	345	8	0	FALSE	DIPLOID or CNLOH	PASS
X3349	A4GALT	22	42692112	42721298	FALSE	540	-0.394534266862888	8	42153300	43667345	0.523784940894356	1	0	0.523784940894356	1	0	1514045	1	18	6	0	FALSE	HETLOSS	PASS
X3349	A4GNT	3	138123718	138132387	FALSE	109	0.0129390282030771	28	133839480	142678000	1	2	1	1	2	1	8838520	1	53	6	2	FALSE	DIPLOID	PASS
X3349	AAAS	12	53307456	53324864	FALSE	295	0.0494654931192738	30	52771200	103915500	1	2	1	1	2	1	51144300	1	347	18	0	FALSE	DIPLOID	PASS
X3349	AACS	12	125065379	125143333	FALSE	312	0.00202691480831348	29	124967015	128414772	NA	2	NA	NA	2	NA	3447757	NA	5	32	0	FALSE	DIPLOID or CNLOH	PASS
X3349	AADAC	3	151814037	151828488	FALSE	110	0.086657265298397	30	142684200	168824791	1	2	1	1	2	1	26140591	1	102	8	0	FALSE	DIPLOID	PASS
X3349	AADACL2	3	151733916	151761339	FALSE	110	0.086657265298397	30	142684200	168824791	1	2	1	1	2	1	26140591	1	102	9	1	FALSE	DIPLOID	PASS
X3349	AADACL3	1	12716115	12728759	FALSE	4	0.0118633734249993	29	6644700	17623300	NA	2	NA	NA	2	NA	10978600	NA	138	9	0	FALSE	DIPLOID or CNLOH	PASS
X3349	AADACL4	1	12644547	12667086	FALSE	4	0.0118633734249993	29	6644700	17623300	NA	2	NA	NA	2	NA	10978600	NA	138	9	0	FALSE	DIPLOID or CNLOH	PASS
X3349	AADAT	4	170060222	170091699	FALSE	125	-0.370740603034122	8	145654000	185449617	0.523784940894356	1	0	0.523784940894356	1	0	39795617	1	134	16	1	FALSE	HETLOSS	PASS
X3349	AAGAB	15	67201033	67255195	FALSE	338	0.731437154864083	67	66492000	69422500	0.390153527693354	5	NA	0.390153527693354	5	NA	2930500	NA	25	17	0	FALSE	AMP (many states)	PASS
X3349	AAK1	2	69457997	69674349	FALSE	42	0.0388327763067334	34	56750600	72144300	NA	2	NA	NA	2	NA	15393700	NA	79	37	0	FALSE	DIPLOID or CNLOH	PASS
X3349	AAMDC	11	77821109	77918432	FALSE	278	-0.367567018713444	9	73077700	100977048	0.523784940894356	1	0	0.523784940894356	1	0	27899348	1	139	24	0	FALSE	HETLOSS	PASS
X3349	AAMP	2	218264123	218270257	FALSE	83	-0.351132621423317	9	217818645	218276144	0.523784940894356	1	0	0.523784940894356	1	0	457499	1	9	15	1	FALSE	HETLOSS	PASS
X3349	AANAT	17	76453351	76470117	FALSE	417	0.0171409768446139	27	72124500	80119100	0.523784940894356	2	0	0.523784940894356	2	0	7994600	2	128	7	0	FALSE	CNLOH	PASS
X3349	AAR2	20	36236459	36270918	FALSE	494	-0.0501474149141264	24	35147022	44904200	1	2	1	1	2	1	9757178	1	89	8	0	FALSE	DIPLOID	PASS
X3349	AARD	8	116938199	116944487	FALSE	225	0.444509862527657	51	115492400	119608000	0.523784940894356	3	NA	0.523784940894356	3	NA	4115600	NA	14	3	0	FALSE	GAIN (many states)	PASS
X3349	AARS	16	70252295	70289543	FALSE	371	-0.446468172362868	5	68015800	71990440	0.523784940894356	1	0	0.523784940894356	1	0	3974640	1	64	31	1	FALSE	HETLOSS	PASS
X3349	AARS2	6	44299654	44313326	FALSE	152	0.0863741489079321	34	44229400	73756800	NA	2	NA	NA	2	NA	29527400	NA	111	29	0	FALSE	DIPLOID or CNLOH	PASS
X3349	AARSD1	17	42950526	42964498	FALSE	404	-0.422729120097542	5	32027700	44071000	0.523784940894356	1	0	0.523784940894356	1	0	12043300	1	281	16	0	FALSE	HETLOSS	PASS
X3349	AASDH	4	56338287	56387508	FALSE	116	0.372659569808413	49	33968300	57110200	0.456333490490042	3	NA	0.456333490490042	3	NA	23141900	NA	101	22	0	FALSE	GAIN (many states)	PASS
X3349	AASDHPPT	11	106075501	106098710	FALSE	280	-0.280776393475192	16	105905200	107177114	0.435208897988827	1	0	0.435208897988827	1	0	1271914	1	5	10	0	FALSE	HETLOSS	PASS
X3349	AASS	7	122075647	122144280	FALSE	199	0.0877665335255905	30	108037539	130044000	1	2	1	1	2	1	22006461	1	91	29	0	FALSE	DIPLOID	PASS
X3349	AATF	17	36948875	37056871	FALSE	404	-0.422729120097542	5	32027700	44071000	0.523784940894356	1	0	0.523784940894356	1	0	12043300	1	281	20	1	FALSE	HETLOSS	PASS
