Arm	# Genes	Amp frequency	Amp frequency score	Amp z-score	Amp q-value	Del frequency	Del frequency score	Del z-score	Del q-value
1p	2439	0.19	0.22	1.17	0.414	0.13	0.15	-1.92	1
1q	2242	0.44	0.46	13.9	0	0.04	0.07	-5.1	1
2p	1102	0.14	0.16	-2.78	1	0.12	0.14	-3.47	1
2q	1931	0.15	0.17	-1.45	1	0.13	0.15	-2.67	1
3p	1252	0.13	0.15	-3.12	1	0.15	0.17	-1.93	1
3q	1319	0.15	0.17	-1.96	1	0.12	0.14	-3.45	1
4p	567	0.13	0.16	-3.14	1	0.17	0.19	-1.41	1
4q	1191	0.10	0.12	-4.2	1	0.20	0.22	0.243	1
5p	355	0.19	0.22	-0.321	1	0.15	0.19	-1.75	1
5q	1707	0.12	0.16	-2.12	1	0.24	0.27	3.46	0.0011
6p	1407	0.40	0.45	12	0	0.10	0.17	-1.74	1
6q	1013	0.09	0.16	-2.21	1	0.45	0.49	14	0
7p	740	0.52	0.54	16.6	0	0.03	0.07	-5.35	1
7q	1491	0.53	0.54	17.6	0	0.02	0.05	-5.96	1
8p	620	0.28	0.34	5.54	7.79e-08	0.17	0.23	0.55	0.796
8q	1037	0.42	0.44	11.8	0	0.06	0.10	-4.67	1
9p	541	0.03	0.08	-4.63	1	0.63	0.65	22.1	0
9q	1321	0.04	0.08	-4.91	1	0.47	0.49	14.5	0
10p	518	0.02	0.04	-6.41	1	0.52	0.53	16.1	0
10q	1483	0.00	0.01	-6.79	1	0.59	0.59	20.3	0
11p	977	0.08	0.11	-4.58	1	0.30	0.32	5.43	1.62e-07
11q	1785	0.07	0.12	-3.6	1	0.43	0.46	13.2	0
12p	647	0.13	0.15	-3.33	1	0.13	0.15	-3.24	1
12q	1708	0.07	0.08	-5.9	1	0.17	0.18	-1.25	1
13q	857	0.21	0.26	2.05	0.0749	0.19	0.25	1.29	0.313
14q	1564	0.09	0.12	-3.98	1	0.27	0.30	4.67	6.84e-06
15q	1547	0.18	0.20	-0.294	1	0.11	0.14	-3.39	1
16p	1024	0.11	0.13	-4.21	1	0.13	0.15	-3.42	1
16q	815	0.09	0.12	-4.45	1	0.26	0.28	3.11	0.00354
17p	779	0.09	0.12	-4.38	1	0.29	0.32	4.88	2.67e-06
17q	1882	0.22	0.25	2.5	0.0255	0.13	0.17	-1.72	1
18p	176	0.14	0.18	-2.4	1	0.22	0.26	1.47	0.242
18q	505	0.12	0.16	-3.13	1	0.21	0.24	0.604	0.796
19p	1111	0.12	0.13	-3.98	1	0.12	0.14	-3.68	1
19q	1925	0.12	0.14	-3.12	1	0.12	0.14	-3.32	1
20p	455	0.34	0.37	7.13	3.04e-12	0.08	0.12	-4.57	1
20q	930	0.43	0.45	11.9	0	0.03	0.05	-6.79	1
21q	616	0.15	0.18	-1.92	1	0.16	0.18	-1.82	1
22q	1075	0.25	0.28	3.29	0.00225	0.10	0.13	-3.94	1
Xp	886	0.04	0.04	-8.81	1	0.09	0.09	-6.53	1
Xq	1336	0.03	0.03	-9.01	1	0.09	0.09	-6.09	1
