sample	arm	tcn	lcn	cn_length	arm_length	frac_of_arm	cn_state
MDL16-2571	1p	3	0	61959900	76051476.5	0.81	CNLOH BEFORE & LOSS
MDL16-2571	2q	3	1	133712159	144634600	0.92	LOSS AFTER
MDL16-2571	4p	2	0	1578506	1782106	0.89	LOSS BEFORE
MDL16-2571	4q	2	0	139212779	139212779	1	LOSS BEFORE
MDL16-2571	7p	5	2	15898036.5	15898036.5	1	GAIN
MDL16-2571	8p	1	0	32392300	32392300	1	LOSS BEFORE & AFTER
MDL16-2571	8q	7	1	57335200	59776841	0.96	AMP
MDL16-2571	11p	1	0	2823900	2823900	1	LOSS BEFORE & AFTER
MDL16-2571	11q	2	0	36915144	41665842	0.89	LOSS BEFORE
MDL16-2571	13q	2	0	96153000	96153000	1	LOSS BEFORE
MDL16-2571	14q	4	2	84116819	88526900	0.95	TETRAPLOID
MDL16-2571	15q	2	0	69212627	69212627	1	LOSS BEFORE
MDL16-2571	17p	2	0	21218700	24642162.5	0.86	LOSS BEFORE
MDL16-2571	18q	2	0	50281492	62079642.5	0.81	LOSS BEFORE
MDL16-2571	19q	3	1	28321339	32733918	0.87	LOSS AFTER
MDL16-2571	20p	6	0	28149490	28149490	1	AMP (LOH)
MDL16-2571	23p	4	2	3945060.5	3945060.5	1	TETRAPLOID
MDL16-2571	23q	4	2	92672809.5	95517267.5	0.97	TETRAPLOID
