sample	arm	tcn	lcn	cn_length	arm_length	frac_of_arm	cn_state
X2890	1p	1	0	44300056	55288647.5	0.8	HETLOSS
X2890	1q	2	1	124319890.5	125437620.5	0.99	DIPLOID
X2890	2q	2	1	147852146	147852146	1	DIPLOID
X2890	3p	1	0	55238700	61726316	0.89	HETLOSS
X2890	3q	2	1	99992156	99992156	1	DIPLOID
X2890	4p	1	0	447300	447300	1	HETLOSS
X2890	5p	1	0	16000	16000	1	HETLOSS
X2890	5q	1	0	130881189	130881189	1	HETLOSS
X2890	7p	1	0	3790636.5	3790636.5	1	HETLOSS
X2890	8p	1	0	17146600	17146600	1	HETLOSS
X2890	9q	2	1	83013803.5	93672507.5	0.89	DIPLOID
X2890	10q	2	1	61846200	61846200	1	DIPLOID
X2890	11p	1	0	18066800	18066800	1	HETLOSS
X2890	11q	2	1	33858186	33858186	1	DIPLOID
X2890	12q	1	0	84360454	84360454	1	HETLOSS
X2890	14q	1	0	66898947	76341547	0.88	HETLOSS
X2890	15q	2	1	35271710	35271710	1	DIPLOID
X2890	16p	1	0	33609970	37275783.5	0.9	HETLOSS
X2890	17p	1	0	24129399.5	24564685.5	0.98	HETLOSS
X2890	18p	1	0	18113452.5	18113452.5	1	HETLOSS
X2890	18q	1	0	62086247.5	62086247.5	1	HETLOSS
X2890	19q	0	0	32229328	32633928	0.99	HOMDEL
X2890	20p	2	1	26703690	26703690	1	DIPLOID
X2890	20q	2	1	33420374	35422474	0.94	DIPLOID
