sample	arm	tcn	lcn	cn_length	arm_length	frac_of_arm	cn_state
MDL17-3055	2p	1	0	4253551	4253551	1	LOSS BEFORE & AFTER
MDL17-3055	4p	3	1	2386206	2579406	0.93	LOSS AFTER
MDL17-3055	4q	3	1	124248694	139332094	0.89	LOSS AFTER
MDL17-3055	6p	2	1	1253011	1253011	1	DOUBLE LOSS AFTER
MDL17-3055	8q	3	1	68162830	71791938	0.95	LOSS AFTER
MDL17-3055	9p	2	0	44441996.5	44441996.5	1	LOSS BEFORE
MDL17-3055	9q	2	0	93702722.5	93702722.5	1	LOSS BEFORE
MDL17-3055	10q	3	1	79445107	79588456	1	LOSS AFTER
MDL17-3055	12p	3	1	35965129.5	35965129.5	1	LOSS AFTER
MDL17-3055	12q	3	1	82345600.5	96761782.5	0.85	LOSS AFTER
MDL17-3055	13q	2	0	89037500	95832700	0.93	LOSS BEFORE
MDL17-3055	14q	2	1	84300422	88527469	0.95	DOUBLE LOSS AFTER
MDL17-3055	15q	3	1	69139100	69139100	1	LOSS AFTER
MDL17-3055	18p	3	1	18113652.5	18113652.5	1	LOSS AFTER
MDL17-3055	18q	3	1	62086347.5	62086347.5	1	LOSS AFTER
MDL17-3055	20p	3	1	16609021	16609021	1	LOSS AFTER
MDL17-3055	20q	3	1	33235626	36038247	0.92	LOSS AFTER
MDL17-3055	21q	3	0	28497857	34452969	0.83	CNLOH BEFORE & LOSS
MDL17-3055	22q	3	1	33382661	36787586	0.91	LOSS AFTER
MDL17-3055	23p	2	0	60224960.5	60224960.5	1	LOSS BEFORE
