sample	arm	tcn	lcn	cn_length	arm_length	frac_of_arm	cn_state
MDL18-2288	2p	5	2	1297051	1297051	1	GAIN
MDL18-2288	2q	5	2	146161999	147713067	0.99	GAIN
MDL18-2288	4p	0	0	71300	71300	1	HOMDEL
MDL18-2288	4q	6	1	91457600	94809657	0.96	AMP
MDL18-2288	6q	3	0	90835434	90835434	1	CNLOH BEFORE & LOSS
MDL18-2288	8p	1	0	1162400	1162400	1	LOSS BEFORE & AFTER
MDL18-2288	8q	5	0	73453215	85443750	0.86	CNLOH BEFORE & GAIN
MDL18-2288	9p	4	0	22459996.5	22503496.5	1	CNLOH BEFORE
MDL18-2288	9q	4	0	81077380.5	93742171.5	0.86	CNLOH BEFORE
MDL18-2288	13q	6	1	69953400	75687900	0.92	AMP
MDL18-2288	14q	6	1	23256500	26081807	0.89	AMP
MDL18-2288	15q	3	0	39723500	39723500	1	CNLOH BEFORE & LOSS
MDL18-2288	16p	4	0	29512400	29512400	1	CNLOH BEFORE
MDL18-2288	16q	5	2	41232500	43695577	0.94	GAIN
MDL18-2288	17p	4	0	21170700	24642121.5	0.86	CNLOH BEFORE
MDL18-2288	18p	3	0	18113652.5	18113652.5	1	CNLOH BEFORE & LOSS
MDL18-2288	18q	3	0	61638394.5	62077820.5	0.99	CNLOH BEFORE & LOSS
MDL18-2288	19p	3	0	17661715	19344305	0.91	CNLOH BEFORE & LOSS
MDL18-2288	19q	4	0	31384544	32575665	0.96	CNLOH BEFORE
MDL18-2288	20p	6	1	28149490	28149490	1	AMP
MDL18-2288	20q	6	1	31762410	35439742	0.9	AMP
MDL18-2288	22q	3	0	36694746	36792527	1	CNLOH BEFORE & LOSS
MDL18-2288	23q	2	0	83445207	83445207	1	LOSS BEFORE
