sample	arm	tcn	lcn	cn_length	arm_length	frac_of_arm	cn_state
MDL16-3467	1p	3	1	89502700	96758506	0.93	GAIN
MDL16-3467	1q	2	1	81778867	98822377	0.83	DIPLOID
MDL16-3467	2q	2	1	136804211	147959518	0.92	DIPLOID
MDL16-3467	3p	2	1	92016116	92016116	1	DIPLOID
MDL16-3467	3q	2	1	104421364	105276055	0.99	DIPLOID
MDL16-3467	4p	3	1	40731106	40731106	1	GAIN
MDL16-3467	5p	3	0	13443053.5	13483153.5	1	CNLOH & GAIN
MDL16-3467	6p	3	1	58784411	58784411	1	GAIN
MDL16-3467	7p	2	1	59829136.5	59829136.5	1	DIPLOID
MDL16-3467	7q	2	1	91918422.5	99182362.5	0.93	DIPLOID
MDL16-3467	8p	2	1	44742004.5	44742004.5	1	DIPLOID
MDL16-3467	8q	2	1	98397260.5	99647887.5	0.99	DIPLOID
MDL16-3467	9p	2	1	44281996.5	44281996.5	1	DIPLOID
MDL16-3467	9q	2	1	93571183.5	93571183.5	1	DIPLOID
MDL16-3467	10q	2	1	82648131	82648131	1	DIPLOID
MDL16-3467	11p	2	1	49802511	49802511	1	DIPLOID
MDL16-3467	11q	2	1	81650387	82229733	0.99	DIPLOID
MDL16-3467	12p	1	0	273500	273500	1	HETLOSS
MDL16-3467	13q	3	1	88738700	92878290	0.96	GAIN
MDL16-3467	14q	2	1	12776182	15507711	0.82	DIPLOID
MDL16-3467	15q	3	0	1124697	1124697	1	CNLOH & GAIN
MDL16-3467	16q	2	1	34570845	41893820	0.83	DIPLOID
MDL16-3467	17p	2	1	21105337	24576758.5	0.86	DIPLOID
MDL16-3467	17q	2	1	51994383	58207359.5	0.89	DIPLOID
MDL16-3467	18p	2	1	18113652.5	18113652.5	1	DIPLOID
MDL16-3467	18q	2	1	62085784.5	62085784.5	1	DIPLOID
MDL16-3467	19p	2	1	25713146	25713146	1	DIPLOID
MDL16-3467	19q	2	1	31698871	32355375	0.98	DIPLOID
MDL16-3467	20p	2	1	28149238	28149238	1	DIPLOID
MDL16-3467	22q	2	1	35731344	36754781	0.97	DIPLOID
MDL16-3467	23p	2	1	52206460.5	52206460.5	1	DIPLOID
MDL16-3467	23q	2	1	95517822.5	95517822.5	1	DIPLOID
