Arm	# Genes	Amp frequency	Amp frequency score	Amp z-score	Amp q-value	Del frequency	Del frequency score	Del z-score	Del q-value
1p	2439	0.20	0.27	-0.433	1	0.25	0.31	2.43	0.0173
1q	2242	0.50	0.55	17.9	0	0.08	0.16	-5.98	1
2p	1102	0.35	0.37	2.5	0.0211	0.04	0.07	-14.2	1
2q	1931	0.24	0.26	-2.57	1	0.07	0.09	-12.5	1
3p	1252	0.10	0.22	-4.77	1	0.53	0.59	17.1	0
3q	1319	0.41	0.50	10.9	0	0.18	0.30	-0.816	1
4p	567	0.09	0.16	-9.57	1	0.43	0.47	7.57	6.22e-14
4q	1191	0.05	0.10	-11.5	1	0.44	0.46	8.91	0
5p	355	0.58	0.63	16.9	0	0.07	0.18	-7.8	1
5q	1707	0.16	0.30	-0.258	1	0.47	0.56	16.1	0
6p	1407	0.23	0.29	-1.39	1	0.21	0.28	-2.31	1
6q	1013	0.12	0.18	-8.32	1	0.34	0.39	3.61	0.000374
7p	740	0.48	0.53	11.4	0	0.09	0.17	-8.16	1
7q	1491	0.40	0.45	8.73	0	0.11	0.18	-6.95	1
8p	620	0.17	0.33	-1.06	1	0.48	0.58	13.6	0
8q	1037	0.45	0.51	11.3	0	0.12	0.21	-5.9	1
9p	541	0.08	0.21	-6.13	1	0.59	0.65	18.6	0
9q	1321	0.10	0.19	-6.16	1	0.49	0.55	14.5	0
10p	518	0.17	0.25	-5.45	1	0.32	0.39	1.85	0.0664
10q	1483	0.10	0.16	-8.39	1	0.36	0.40	5.43	8.23e-08
11p	977	0.15	0.20	-7.49	1	0.28	0.33	-0.419	1
11q	1785	0.17	0.23	-4.24	1	0.24	0.29	-0.757	1
12p	647	0.34	0.40	3.26	0.00232	0.16	0.24	-6.05	1
12q	1708	0.24	0.29	-0.759	1	0.17	0.22	-4.95	1
13q	857	0.08	0.18	-6.98	1	0.57	0.62	17.8	0
14q	1564	0.24	0.33	1.45	0.216	0.28	0.37	3.8	0.000183
15q	1547	0.13	0.20	-5.87	1	0.37	0.42	7.08	2.27e-12
16p	1024	0.20	0.26	-4.02	1	0.25	0.32	-1.01	1
16q	815	0.15	0.22	-6.42	1	0.32	0.37	1.91	0.0612
17p	779	0.12	0.23	-5.51	1	0.49	0.55	13	0
17q	1882	0.33	0.38	5.16	5.58e-07	0.12	0.18	-6.32	1
18p	176	0.22	0.31	-3.16	1	0.31	0.39	1.25	0.206
18q	505	0.13	0.23	-6.03	1	0.42	0.49	8.31	0
19p	1111	0.12	0.21	-6.29	1	0.40	0.46	8.3	0
19q	1925	0.25	0.33	2.24	0.0396	0.23	0.31	0.906	0.34
20p	455	0.41	0.48	7.55	1.08e-13	0.15	0.26	-4.84	1
20q	930	0.42	0.47	8.3	0	0.11	0.20	-7.18	1
21q	616	0.14	0.24	-5.62	1	0.41	0.48	7.87	6.62e-15
22q	1075	0.26	0.38	2.98	0.00531	0.31	0.42	5.27	1.91e-07
Xp	886	0.08	0.10	-13.7	1	0.22	0.24	-6.41	1
Xq	1336	0.13	0.14	-11.1	1	0.12	0.14	-11.2	1
