sample	arm	tcn	lcn	cn_length	arm_length	frac_of_arm	cn_state
MDL18-337	1p	5	2	89441900	106896009.5	0.84	GAIN
MDL18-337	2p	1	0	6294551	6294551	1	LOSS BEFORE & AFTER
MDL18-337	3p	4	2	92016116	92016116	1	TETRAPLOID
MDL18-337	3q	4	2	102010834	105779754	0.96	TETRAPLOID
MDL18-337	4p	6	3	35665806	35869406	0.99	AMP (BALANCED)
MDL18-337	4q	6	3	135861120	139211720	0.98	AMP (BALANCED)
MDL18-337	5p	1	0	1005100	1005100	1	LOSS BEFORE & AFTER
MDL18-337	5q	6	3	94150313	111286908	0.85	AMP (BALANCED)
MDL18-337	6p	4	2	25773611	25858011	1	TETRAPLOID
MDL18-337	6q	4	2	100755393	110445364	0.91	TETRAPLOID
MDL18-337	7p	1	0	5986300	5986300	1	LOSS BEFORE & AFTER
MDL18-337	8p	5	2	32781004.5	32781004.5	1	GAIN
MDL18-337	9p	6	0	44441996.5	44441996.5	1	AMP (LOH)
MDL18-337	9q	6	0	83001503.5	93632391.5	0.89	AMP (LOH)
MDL18-337	10q	4	2	75535500	87514952	0.86	TETRAPLOID
MDL18-337	11p	1	0	1684000	1925800	0.87	LOSS BEFORE & AFTER
MDL18-337	13q	4	2	90407158	94535767	0.96	TETRAPLOID
MDL18-337	14q	4	2	53374900	58355877	0.91	TETRAPLOID
MDL18-337	16p	4	2	27671482	32362082	0.86	TETRAPLOID
MDL18-337	18p	4	2	7489252.5	7489252.5	1	TETRAPLOID
MDL18-337	18q	5	2	55874166	60129955.5	0.93	GAIN
MDL18-337	20p	4	2	28149490	28149490	1	TETRAPLOID
MDL18-337	20q	4	2	33924310	35874975	0.95	TETRAPLOID
MDL18-337	21q	4	2	32339648	34323248	0.94	TETRAPLOID
MDL18-337	23p	1	0	2987800	2987800	1	LOSS BEFORE & AFTER
MDL18-337	23q	5	0	75423073	77762368	0.97	CNLOH BEFORE & GAIN
