sample	arm	tcn	lcn	cn_length	arm_length	frac_of_arm	cn_state
MDL17-3683	1p	4	2	65377489	69382689	0.94	TETRAPLOID
MDL17-3683	2p	1	0	487400	487400	1	LOSS BEFORE & AFTER
MDL17-3683	2q	4	2	121021557	142524767	0.85	TETRAPLOID
MDL17-3683	3p	4	2	37328616	37412016	1	TETRAPLOID
MDL17-3683	3q	4	2	88292104	102036727	0.87	TETRAPLOID
MDL17-3683	4p	4	2	40623906	40623906	1	TETRAPLOID
MDL17-3683	4q	4	2	138729612	138729612	1	TETRAPLOID
MDL17-3683	5q	5	2	86173465	106538788	0.81	GAIN
MDL17-3683	6q	2	0	89196900	108014875	0.83	LOSS BEFORE
MDL17-3683	9p	3	1	8243296.5	8243296.5	1	LOSS AFTER
MDL17-3683	11p	1	0	2796800	2796800	1	LOSS BEFORE & AFTER
MDL17-3683	13q	4	2	88742600	93579659	0.95	TETRAPLOID
MDL17-3683	18p	3	0	7610752.5	7610752.5	1	CNLOH BEFORE & LOSS
MDL17-3683	20p	3	1	19666500	24453290	0.8	LOSS AFTER
