sample	arm	tcn	lcn	cn_length	arm_length	frac_of_arm	cn_state
MDL17-2385	1p	4	2	88268881	97521731	0.91	TETRAPLOID
MDL17-2385	2q	3	0	126137549	144957372	0.87	CNLOH BEFORE & LOSS
MDL17-2385	3q	3	0	95498057	97252501	0.98	CNLOH BEFORE & LOSS
MDL17-2385	4p	3	0	40731106	40731106	1	CNLOH BEFORE & LOSS
MDL17-2385	4q	3	0	139331573	139331573	1	CNLOH BEFORE & LOSS
MDL17-2385	5q	2	0	109968128	110649781	0.99	LOSS BEFORE
MDL17-2385	8p	5	2	7015504.5	7015504.5	1	GAIN
MDL17-2385	8q	5	2	81467887.5	99442996.5	0.82	GAIN
MDL17-2385	9q	2	0	62315886	69742936	0.89	LOSS BEFORE
MDL17-2385	10q	3	0	71393384	78808716	0.91	CNLOH BEFORE & LOSS
MDL17-2385	12p	2	0	7428029.5	7428029.5	1	LOSS BEFORE
MDL17-2385	12q	2	0	88956770.5	96472301.5	0.92	LOSS BEFORE
MDL17-2385	13q	2	0	63381000	64589100	0.98	LOSS BEFORE
MDL17-2385	15q	2	1	68997786	82084824	0.84	DOUBLE LOSS AFTER
MDL17-2385	17p	3	0	19695585	23836908.5	0.83	CNLOH BEFORE & LOSS
MDL17-2385	18p	3	0	18113652.5	18113652.5	1	CNLOH BEFORE & LOSS
MDL17-2385	20p	4	0	28149490	28149490	1	CNLOH BEFORE
MDL17-2385	20q	4	0	30541782	34561233	0.88	CNLOH BEFORE
MDL17-2385	22q	2	0	36694920	36782059	1	LOSS BEFORE
MDL17-2385	23p	2	0	60224960.5	60224960.5	1	LOSS BEFORE
