Unique Name	Descriptor	Wide Peak Limits	Peak Limits	Region Limits	q values	Residual q values after removing segments shared with higher peaks	Broad or Focal	Amplitude Threshold	Pt1	Pt10	Pt11	Pt12	Pt13	Pt14	Pt15	Pt16	Pt17	Pt18	Pt19	Pt2	Pt20	Pt21	Pt22	Pt23	Pt24	Pt25	Pt26	Pt27	Pt28	Pt29	Pt3	Pt30	Pt31	Pt32	Pt33	Pt34	Pt35	Pt36	Pt37	Pt38	Pt4	Pt5	Pt6	Pt7	Pt9	Pat02	Pat03	Pat04	Pat06	Pat07	Pat08	Pat100	Pat101	Pat103	Pat104	Pat105	Pat106	Pat109	Pat11	Pat110	Pat113	Pat115	Pat117	Pat118	Pat119	Pat121	Pat123	Pat124	Pat126	Pat127	Pat128	Pat129	Pat13	Pat130	Pat131	Pat132	Pat133	Pat135	Pat138	Pat139	Pat14	Pat140	Pat143	Pat147	Pat148	Pat15	Pat151	Pat157	Pat159	Pat16	Pat160	Pat162	Pat163	Pat165	Pat166	Pat167	Pat168	Pat17	Pat170	Pat171	Pat174	Pat175	Pat18	Pat19	Pat21	Pat24	Pat25	Pat27	Pat28	Pat29	Pat32	Pat33	Pat36	Pat37	Pat38	Pat39	Pat40	Pat41	Pat43	Pat44	Pat45	Pat46	Pat47	Pat49	Pat50	Pat54	Pat55	Pat56	Pat57	Pat58	Pat59	Pat60	Pat62	Pat63	Pat64	Pat66	Pat67	Pat70	Pat71	Pat73	Pat74	Pat76	Pat77	Pat78	Pat79	Pat80	Pat81	Pat82	Pat83	Pat85	Pat86	Pat88	Pat90	Pat92	Pat98	CR0095	CR04885	CR06670	CR1509	CR22640	CR3665	CR4880	CR6126	CR6161	CR7623	CR9306	CR9699	CRNR0244	CRNR2472	CRNR4941	LSD0167	LSD2057	LSD3484	LSD4691	LSD4744	LSD6819	LSDNR1120	LSDNR1650	LSDNR3086	LSDNR9298	NR1867	NR2137	NR3156	NR3549	NR4018	NR4045	NR4083	NR4631	NR4810	NR4949	NR5784	NR6689	NR6721	NR6842	NR8727	NR8815	NR9341	NR9445	NR9449	NR9521	NR9705	NR9765	PR03803	PR12117	PR4035	PR4046	PR4077	PR4091	PR4092	SD0346	SD1494	SD2051	SD2056	SD5038	SD5118	SD5934	SD6336	SD6494	SD7357	
Amplification Peak  1	1p36.22 	chr1:1-45933256(probes 1:3717)                    	chr1:9714366-9815407(probes 725:730)              	chr1:9714366-9844578(probes 725:733)              	0.06671	   0.079365		0: t<0.25; 1: 0.25<t< 0.9; 2: t>0.9	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	2	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	1	2	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Amplification Peak  2	1p12    	chr1:108679235-145282092(probes 8578:9787)    	chr1:120387121-120469210(probes 9589:9596)    	chr1:119575734-142827043(probes 9512:9649)    	0.017605	    0.18524		0: t<0.25; 1: 0.25<t< 0.9; 2: t>0.9	2	0	0	1	1	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	1	0	0	1	0	0	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2	0	0	0	2	0	0	0	0	2	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	
Amplification Peak  3	1q21.2  	chr1:149755861-149871854(probes 10109:10123)  	chr1:149858521-149871743(probes 10121:10122)  	chr1:142713168-164562297(probes 9650:11570)   	1.5804e-09	  3.672e-09		0: t<0.25; 1: 0.25<t< 0.9; 2: t>0.9	0	1	1	1	1	0	1	0	1	0	2	1	0	0	0	2	1	2	0	0	0	0	1	0	2	1	0	2	0	0	1	0	2	1	0	1	0	2	1	2	0	0	1	0	2	0	0	0	0	1	0	2	1	2	1	1	1	1	0	1	0	1	0	1	1	2	0	0	2	2	1	2	0	2	2	0	0	1	0	0	2	0	2	2	1	2	2	2	2	0	0	2	0	2	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	1	1	1	1	0	2	1	0	0	0	0	2	0	0	2	0	2	0	0	1	1	0	0	0	1	1	1	0	1	0	0	2	0	0	1	0	0	1	1	0	0	0	0	0	1	1	2	1	0	0	0	1	1	0	0	0	0	1	0	0	1	0	0	1	0	1	1	2	2	1	0	0	0	0	0	0	0	0	1	0	2	1	0	0	2	1	0	0	1	2	0	0	0	0	0	1	1	0	1	
Amplification Peak  4	1q44    	chr1:240331376-249250621(probes 17733:18455)  	chr1:247420287-247654492(probes 18255:18272)  	chr1:237167730-249250621(probes 17528:18455)  	0.0036559	   0.020198		0: t<0.25; 1: 0.25<t< 0.9; 2: t>0.9	0	1	2	1	1	0	1	0	1	0	2	1	1	0	1	1	1	2	1	0	0	0	1	0	2	1	0	2	0	0	1	0	2	1	0	1	0	2	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	1	0	2	0	1	0	1	0	0	0	0	1	0	0	2	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0	0	0	1	2	2	0	0	1	0	0	2	1	1	0	0	2	1	2	2	0	0	2	0	2	2	0	0	0	0	1	1	0	0	0	1	0	1	0	1	1	0	1	1	0	0	0	0	2	1	0	0	0	1	0	1	1	2	1	0	0	1	2	1	0	0	0	0	1	0	0	0	0	0	1	0	1	2	1	2	1	0	0	0	0	0	0	0	0	1	2	0	1	0	0	2	1	0	0	1	2	0	0	0	0	0	1	1	0	1	
Amplification Peak  5	3p13    	chr3:69352668-71020030(probes 42616:42621)      	chr3:69360505-71015161(probes 42617:42620)      	chr3:68466564-74373559(probes 42544:42896)      	1.499e-05	  1.499e-05		0: t<0.25; 1: 0.25<t< 0.9; 2: t>0.9	0	1	2	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	1	2	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	2	2	0	2	0	0	1	0	0	0	1	2	0	0	0	1	1	0	2	0	1	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	2	0	1	0	0	2	0	0	1	0	0	0	1	0	0	0	0	1	0	0	2	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1	1	0	1	2	1	
Amplification Peak  6	5p15.33 	chr5:481227-1321872(probes 65975:66044)            	chr5:1219159-1282754(probes 66033:66040)          	chr5:1-1335431(probes 65943:66046)                 	0.0045781	  0.0045781		0: t<0.25; 1: 0.25<t< 0.9; 2: t>0.9	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	2	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	2	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	1	1	0	2	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	2	2	2	
Amplification Peak  7	5q31.3  	chr5:140167221-140856543(probes 75345:75434)  	chr5:140810258-140811029(probes 75429:75429)  	chr5:140083471-140864970(probes 75344:75436)  	0.012456	   0.012456		0: t<0.25; 1: 0.25<t< 0.9; 2: t>0.9	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	2	0	0	1	1	0	0	1	0	0	0	0	0	2	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	1	0	1	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
Amplification Peak  8	6p22.1  	chr6:27424603-27889222(probes 80960:80971)      	chr6:27425019-27879299(probes 80961:80970)      	chr6:27425019-27909067(probes 80961:80973)      	1.1443e-09	 1.1443e-09		0: t<0.25; 1: 0.25<t< 0.9; 2: t>0.9	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	2	1	0	0	0	1	0	0	0	1	0	1	1	0	2	0	2	2	2	0	0	1	1	0	0	2	1	0	2	0	0	0	2	1	0	1	0	0	1	0	0	0	1	2	0	1	2	1	0	0	0	0	2	0	1	0	0	0	2	0	0	0	1	2	2	0	2	1	0	0	2	2	2	0	2	2	0	0	2	0	0	2	1	1	1	1	1	1	0	1	0	0	0	1	2	0	2	2	1	0	0	0	1	2	1	1	0	1	0	1	1	0	2	1	1	1	0	0	0	0	1	1	0	1	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	1	0	0	0	0	1	0	2	0	0	2	2	1	0	1	0	0	0	1	0	2	2	0	0	0	0	0	0	0	0	0	2	0	2	1	2	1	1	1	0	0	2	2	0	1	1	0	2	1	0	1	2	
Amplification Peak  9	7p21.3  	chr7:5535707-10977629(probes 91540:91762)        	chr7:6940099-7612119(probes 91675:91724)          	chr7:4490854-10979772(probes 91471:91764)        	0.012244	   0.012244		0: t<0.25; 1: 0.25<t< 0.9; 2: t>0.9	0	2	0	1	1	0	2	0	1	1	2	1	0	2	0	1	1	0	1	0	0	2	1	1	1	1	0	1	0	0	0	0	2	0	0	2	1	1	0	0	0	2	0	2	2	0	2	0	0	1	1	1	0	2	0	0	0	1	0	0	2	2	1	0	0	0	0	0	0	1	0	1	1	0	2	0	1	2	1	0	0	0	2	2	0	2	1	2	2	1	1	0	1	0	1	1	1	0	1	1	0	0	2	0	0	2	0	1	0	0	1	0	0	1	0	1	1	0	1	0	2	1	0	2	1	1	0	2	0	1	0	1	2	0	0	0	2	2	2	1	0	0	0	0	1	0	0	2	0	0	1	0	1	2	1	0	0	0	1	1	0	0	0	0	1	0	0	1	0	0	1	1	2	0	0	0	1	1	0	2	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	1	0	1	0	1	
Amplification Peak 10	7q34    	chr7:128399868-141681723(probes 101226:102362)	chr7:139044632-140244450(probes 102102:102218)	chr7:128409581-141775064(probes 101227:102374)	0.0027541	  0.0027541		0: t<0.25; 1: 0.25<t< 0.9; 2: t>0.9	0	0	1	2	1	0	2	0	1	1	2	0	0	2	1	2	1	0	0	0	0	1	2	0	1	1	0	0	2	0	0	0	2	0	2	1	1	1	0	0	1	1	0	2	1	0	2	0	0	1	1	0	0	1	0	0	0	1	0	0	0	2	1	2	0	0	0	0	1	1	0	2	1	0	1	0	1	2	1	0	1	1	1	2	0	0	1	1	2	2	1	0	1	0	1	1	0	0	1	1	1	1	2	0	1	2	0	1	0	0	1	0	0	1	0	1	0	0	1	0	1	1	2	2	1	0	0	2	0	1	0	1	2	1	0	0	0	2	0	1	0	0	2	2	2	0	1	2	0	0	1	0	0	2	1	0	0	0	1	1	0	0	0	0	1	0	0	1	1	0	1	1	0	0	0	0	1	1	0	2	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	1	0	0	2	0	0	0	1	0	1	2	1	
