sample	arm	tcn	lcn	cn_length	arm_length	frac_of_arm	cn_state
MDL16-4671	1p	4	2	95543462.5	99848250.5	0.96	TETRAPLOID
MDL16-4671	4p	0	0	158400	158400	1	HOMDEL
MDL16-4671	4q	6	3	83369772	87171672	0.96	AMP (BALANCED)
MDL16-4671	6p	4	2	32941211	32941211	1	TETRAPLOID
MDL16-4671	9p	3	0	7872196.5	7872196.5	1	CNLOH BEFORE & LOSS
MDL16-4671	10q	6	3	40331992	43649485	0.92	AMP (BALANCED)
MDL16-4671	11p	6	3	35030211	35030211	1	AMP (BALANCED)
MDL16-4671	11q	6	3	70226202	82233833	0.85	AMP (BALANCED)
MDL16-4671	12q	5	2	25851662	30654684	0.84	GAIN
MDL16-4671	14q	6	0	41339300	43995807	0.94	AMP (LOH)
MDL16-4671	15q	5	2	7423300	7423300	1	GAIN
MDL16-4671	16p	3	1	25085387	29276248	0.86	LOSS AFTER
MDL16-4671	17p	4	2	20620699	24641759.5	0.84	TETRAPLOID
MDL16-4671	18p	3	1	4236200	4236200	1	LOSS AFTER
MDL16-4671	19p	3	1	24886234	25730834	0.97	LOSS AFTER
MDL16-4671	21q	5	2	30541256	32399114	0.94	GAIN
MDL16-4671	23q	3	1	67517679	67517679	1	LOSS AFTER
