sample	arm	tcn	lcn	cn_length	arm_length	frac_of_arm	cn_state
MDL17-3883	1p	4	0	55361800	62446300	0.89	CNLOH BEFORE
MDL17-3883	1q	4	2	96607708	101242789	0.95	TETRAPLOID
MDL17-3883	2p	0	0	4253551	4253551	1	HOMDEL
MDL17-3883	3p	4	0	38972816	38972816	1	CNLOH BEFORE
MDL17-3883	4p	3	1	40742406	40835606	1	LOSS AFTER
MDL17-3883	4q	3	1	135981794	138039394	0.99	LOSS AFTER
MDL17-3883	5p	4	2	9749353.5	9749353.5	1	TETRAPLOID
MDL17-3883	7p	1	0	5986300	5986300	1	LOSS BEFORE & AFTER
MDL17-3883	8p	3	1	44742004.5	44742004.5	1	LOSS AFTER
MDL17-3883	9p	4	2	44278496.5	44278496.5	1	TETRAPLOID
MDL17-3883	9q	4	2	78914903.5	91998855.5	0.86	TETRAPLOID
MDL17-3883	10q	4	0	30328848	34744634	0.87	CNLOH BEFORE
MDL17-3883	11p	0	0	2855900	2855900	1	HOMDEL
MDL17-3883	13q	3	1	88439000	94458535	0.94	LOSS AFTER
MDL17-3883	15q	3	1	37586900	39450600	0.95	LOSS AFTER
MDL17-3883	18p	3	1	18113652.5	18113652.5	1	LOSS AFTER
MDL17-3883	18q	3	1	62086347.5	62086347.5	1	LOSS AFTER
MDL17-3883	19q	2	1	28537256	32148028	0.89	DOUBLE LOSS AFTER
MDL17-3883	20p	3	1	28149490	28149490	1	LOSS AFTER
MDL17-3883	23q	3	1	89032974.5	94168734.5	0.95	LOSS AFTER
