sample	arm	tcn	lcn	cn_length	arm_length	frac_of_arm	cn_state
MDL18-93	1p	3	1	86245700	100454232.5	0.86	LOSS AFTER
MDL18-93	3p	5	2	792216	792216	1	GAIN
MDL18-93	4p	0	0	158400	158400	1	HOMDEL
MDL18-93	6q	3	1	90153230	105710314	0.85	LOSS AFTER
MDL18-93	8p	6	3	1613104.5	1613104.5	1	AMP (BALANCED)
MDL18-93	9q	3	1	68813140	74336574	0.93	LOSS AFTER
MDL18-93	10q	5	2	77718700	87464326	0.89	GAIN
MDL18-93	11p	1	0	1927000	1927000	1	LOSS BEFORE & AFTER
MDL18-93	11q	3	1	31351884	32370065	0.97	LOSS AFTER
MDL18-93	12p	5	2	24225529.5	24225529.5	1	GAIN
MDL18-93	13q	3	1	94761100	94761100	1	LOSS AFTER
MDL18-93	15q	1	0	9519100	10912909	0.87	LOSS BEFORE & AFTER
MDL18-93	17p	3	0	15698231	18929136	0.83	CNLOH BEFORE & LOSS
MDL18-93	18p	5	2	18113652.5	18113652.5	1	GAIN
MDL18-93	20p	3	1	28149490	28149490	1	LOSS AFTER
MDL18-93	20q	6	3	30368172	36087182	0.84	AMP (BALANCED)
MDL18-93	23p	2	1	22233960.5	22233960.5	1	DOUBLE LOSS AFTER
MDL18-93	23q	2	1	93263263.5	95518110.5	0.98	DOUBLE LOSS AFTER
