Arm	# Genes	Amp frequency	Amp frequency score	Amp z-score	Amp q-value	Del frequency	Del frequency score	Del z-score	Del q-value
1p	2121	0.06	0.07	-0.48	1	0.07	0.07	-0.245	1
1q	1955	0.33	0.33	14	0	0.01	0.02	-2.92	1
2p	924	0.08	0.08	-1.53	1	0.02	0.02	-4.55	1
2q	1556	0.06	0.06	-1.65	1	0.02	0.02	-3.95	1
3p	1062	0.04	0.04	-3.13	1	0.14	0.14	1.49	0.267
3q	1139	0.17	0.19	3.65	0.000591	0.05	0.07	-1.97	1
4p	489	0.06	0.06	-2.97	1	0.09	0.09	-1.73	1
4q	1049	0.05	0.05	-2.86	1	0.10	0.10	-0.368	1
5p	270	0.36	0.36	9.88	0	0.01	0.01	-4.53	1
5q	1427	0.07	0.08	-0.769	1	0.10	0.11	0.657	0.681
6p	1173	0.15	0.16	2.56	0.0191	0.07	0.08	-1.14	1
6q	839	0.03	0.04	-3.26	1	0.22	0.22	4.9	1.18e-05
7p	641	0.28	0.29	7.42	5.71e-13	0.01	0.02	-4.3	1
7q	1277	0.22	0.22	6.02	6.87e-09	0.02	0.02	-3.72	1
8p	580	0.08	0.10	-1.13	1	0.22	0.24	4.73	1.18e-05
8q	859	0.33	0.33	10.1	0	0.02	0.03	-3.47	1
9p	422	0.04	0.05	-3.39	1	0.23	0.24	4.83	1.18e-05
9q	1113	0.05	0.05	-2.68	1	0.12	0.13	1	0.487
10p	409	0.07	0.08	-2.57	1	0.07	0.07	-2.75	1
10q	1268	0.05	0.05	-2.51	1	0.07	0.07	-1.71	1
11p	862	0.09	0.09	-1.19	1	0.06	0.07	-2.31	1
11q	1515	0.10	0.12	1.04	0.41	0.11	0.13	1.45	0.267
12p	575	0.16	0.17	2.02	0.0666	0.07	0.08	-2.08	1
12q	1447	0.10	0.10	-0.0652	1	0.02	0.02	-3.97	1
13q	654	0.03	0.04	-3.73	1	0.20	0.21	3.87	0.000363
14q	1341	0.11	0.12	1.02	0.41	0.09	0.10	-0.183	1
15q	1355	0.03	0.03	-3.21	1	0.15	0.15	2.44	0.0329
16p	872	0.19	0.20	3.65	0.000591	0.05	0.06	-2.69	1
16q	702	0.12	0.14	0.637	0.655	0.16	0.18	2.62	0.0249
17p	683	0.05	0.06	-2.62	1	0.20	0.21	3.9	0.000363
17q	1592	0.19	0.20	5.47	1.54e-07	0.03	0.04	-2.51	1
18q	446	0.04	0.05	-3.17	1	0.23	0.24	4.72	1.18e-05
19p	995	0.07	0.08	-1.54	1	0.12	0.13	0.737	0.659
19q	1709	0.13	0.15	2.9	0.00755	0.08	0.10	0.327	0.929
20p	355	0.17	0.18	2.06	0.0655	0.07	0.09	-2.1	1
20q	753	0.23	0.24	5.31	3.15e-07	0.03	0.04	-3.29	1
21q	509	0.07	0.08	-2.08	1	0.10	0.11	-1.02	1
22q	921	0.09	0.10	-0.712	1	0.10	0.11	-0.524	1
Xp	834	0.04	0.04	-3.26	1	0.17	0.17	2.49	0.0318
Xq	1312	0.10	0.11	0.469	0.751	0.12	0.13	1.27	0.342
