sample	gene	chrom	gene_start	gene_end	tsg	seg	median_cnlr_seg	segclust	seg_start	seg_end	cf.em	tcn.em	lcn.em	cf	tcn	lcn	seg_length	mcn	genes_on_seg	gene_snps	gene_het_snps	spans_segs	cn_state	filter
X93	A1BG	19	58345178	58353499	FALSE	799	-0.549556521806065	30	58084800	58582769	NA	2	NA	NA	2	NA	497969	NA	26	13	0	FALSE	DIPLOID or CNLOH	PASS
X93	A1CF	10	50799409	50885675	FALSE	418	0.039406434512723	57	42725900	86658600	0.624390592917961	4	NA	0.624390592917961	4	NA	43932700	NA	221	17	0	FALSE	GAIN (many states)	PASS
X93	A2M	12	9067664	9116229	FALSE	463	0.0287851724481902	57	5952000	42210600	0.624390592917961	4	NA	0.624390592917961	4	NA	36258600	NA	256	52	0	FALSE	GAIN (many states)	PASS
X93	A2ML1	12	8822472	8887001	FALSE	463	0.0287851724481902	57	5952000	42210600	0.624390592917961	4	NA	0.624390592917961	4	NA	36258600	NA	256	43	0	FALSE	GAIN (many states)	PASS
X93	A3GALT2	1	33306766	33321098	FALSE	7	0.0552039181076233	57	32627600	34984000	0.624390592917961	4	NA	0.624390592917961	4	NA	2356400	NA	29	8	0	FALSE	GAIN (many states)	PASS
X93	A4GALT	22	42692112	42721298	FALSE	905	-0.5374008247646	30	42211800	42788030	NA	2	NA	NA	2	NA	576230	NA	8	6	2	FALSE	DIPLOID or CNLOH	PASS
X93	A4GNT	3	138123718	138132387	FALSE	165	0.740054340675415	86	134647500	138131019	0.680955040331723	7	0	0.680955040331723	7	0	3483519	7	13	6	3	TRUE	INDETERMINATE	PASS
X93	AAAS	12	53307456	53324864	FALSE	464	0.0783639040703644	63	42212400	56043400	0.680854455158193	4	NA	0.680854455158193	4	NA	13831000	NA	230	18	0	FALSE	GAIN (many states)	PASS
X93	AACS	12	125065379	125143333	FALSE	475	-0.525375599330359	26	122242548	125326600	0.680854455158193	2	0	0.680854455158193	2	0	3084052	2	43	30	2	FALSE	CNLOH	PASS
X93	AADAC	3	151814037	151828488	FALSE	170	1.03259122581257	95	150050700	156176800	0.680955040331723	9	0	0.680955040331723	9	0	6126100	9	34	7	0	FALSE	INDETERMINATE	PASS
X93	AADACL2	3	151733916	151761339	FALSE	170	1.03259122581257	95	150050700	156176800	0.680955040331723	9	0	0.680955040331723	9	0	6126100	9	34	7	1	FALSE	INDETERMINATE	PASS
X93	AADACL3	1	12716115	12728759	FALSE	3	-0.536731063057887	30	841900	16577300	NA	2	NA	NA	2	NA	15735400	NA	223	9	0	FALSE	DIPLOID or CNLOH	PASS
X93	AADACL4	1	12644547	12667086	FALSE	3	-0.536731063057887	30	841900	16577300	NA	2	NA	NA	2	NA	15735400	NA	223	7	0	FALSE	DIPLOID or CNLOH	PASS
X93	AADAT	4	170060222	170091699	FALSE	219	-0.54842266136462	27	168471700	190112500	0.680854455158193	2	0	0.680854455158193	2	0	21640800	2	68	17	1	FALSE	CNLOH	PASS
X93	AAGAB	15	67201033	67255195	FALSE	529	-0.00792226510312438	51	49577600	69458800	0.548945004866024	4	NA	0.548945004866024	4	NA	19881200	NA	144	13	0	FALSE	GAIN (many states)	PASS
X93	AAK1	2	69457997	69674349	FALSE	80	0.134331583743277	63	62955500	73490200	0.680854455158193	4	NA	0.680854455158193	4	NA	10534700	NA	75	35	0	FALSE	GAIN (many states)	PASS
X93	AAMDC	11	77821109	77918432	FALSE	437	0.0684540878612125	57	55665100	100666400	0.624390592917961	4	NA	0.624390592917961	4	NA	45001300	NA	571	23	0	FALSE	GAIN (many states)	PASS
X93	AAMP	2	218264123	218270257	FALSE	125	0.113051228731267	63	218227000	218279100	0.680854455158193	4	NA	0.680854455158193	4	NA	52100	NA	5	15	1	FALSE	GAIN (many states)	PASS
