Arm	# Genes	Amp frequency	Amp frequency score	Amp z-score	Amp q-value	Del frequency	Del frequency score	Del z-score	Del q-value
1p	2121	0.16	0.18	0.586	0.938	0.09	0.11	-1.78	1
1q	1955	0.42	0.43	10.3	0	0.03	0.05	-3.47	1
2p	924	0.12	0.13	-1.94	1	0.11	0.13	-2.1	1
2q	1556	0.09	0.10	-2.78	1	0.09	0.10	-2.78	1
3p	1062	0.16	0.18	-0.188	1	0.11	0.13	-1.92	1
3q	1139	0.18	0.20	0.553	0.938	0.10	0.12	-2.14	1
4p	489	0.08	0.10	-3.46	1	0.16	0.17	-1.01	1
4q	1049	0.05	0.06	-4.35	1	0.18	0.19	0.0941	1
5p	270	0.16	0.19	-0.395	1	0.18	0.22	0.501	0.863
5q	1427	0.08	0.10	-2.49	1	0.22	0.24	2.34	0.0448
6p	1173	0.35	0.37	6.75	5.03e-11	0.05	0.07	-3.35	1
6q	839	0.08	0.12	-2.1	1	0.34	0.37	6.19	2.51e-09
7p	641	0.44	0.45	9.31	0	0.03	0.05	-3.96	1
7q	1277	0.45	0.46	10.4	0	0.02	0.04	-3.86	1
8p	580	0.22	0.28	2.73	0.0146	0.23	0.29	3.03	0.00728
8q	859	0.40	0.43	8.66	0	0.07	0.12	-2.05	1
9p	422	0.04	0.08	-3.15	1	0.51	0.53	11.6	0
9q	1113	0.06	0.10	-2.46	1	0.39	0.41	8.3	0
10p	409	0.03	0.05	-4.1	1	0.44	0.45	8.86	0
10q	1268	0.01	0.02	-4.42	1	0.48	0.49	11.5	0
11p	862	0.09	0.11	-2.73	1	0.21	0.23	1.32	0.393
11q	1515	0.05	0.07	-3.46	1	0.30	0.31	5.12	1.09e-06
12p	575	0.13	0.15	-1.79	1	0.09	0.10	-3.17	1
12q	1447	0.06	0.07	-3.75	1	0.14	0.15	-1.14	1
13q	654	0.17	0.19	-0.0306	1	0.15	0.18	-0.643	1
14q	1341	0.09	0.12	-2.2	1	0.18	0.20	0.685	0.797
15q	1355	0.18	0.21	1.07	0.544	0.12	0.15	-1.17	1
16p	872	0.11	0.12	-2.55	1	0.08	0.09	-3.49	1
16q	702	0.10	0.13	-2.17	1	0.19	0.21	0.604	0.819
17p	683	0.07	0.09	-3.34	1	0.26	0.27	2.81	0.0128
17q	1592	0.21	0.23	1.93	0.113	0.08	0.10	-2.47	1
18p	143	0.14	0.16	-1.38	1	0.17	0.19	-0.484	1
18q	446	0.12	0.15	-1.47	1	0.20	0.23	1.1	0.473
19p	995	0.12	0.14	-1.7	1	0.11	0.13	-2.02	1
19q	1709	0.12	0.13	-1.35	1	0.12	0.13	-1.35	1
20p	355	0.33	0.36	5.51	1.1e-07	0.08	0.12	-2.41	1
20q	753	0.42	0.43	8.51	0	0.02	0.04	-4.28	1
21p	13	0.11	0.13	-2.52	1	0.15	0.17	-1.48	1
21q	509	0.13	0.15	-1.48	1	0.14	0.16	-1.18	1
22q	921	0.26	0.30	3.79	0.000397	0.15	0.20	0.259	1
Xp	834	0.16	0.19	-0.128	1	0.17	0.20	0.181	1
Xq	1312	0.15	0.18	0.151	1	0.18	0.21	1.1	0.473
