sample	arm	tcn	lcn	cn_length	arm_length	frac_of_arm	cn_state
MDL17-5117	1p	2	0	25905591.5	25905591.5	1	LOSS BEFORE
MDL17-5117	3p	5	2	24685816	24891816	0.99	GAIN
MDL17-5117	4p	0	0	58100	58100	1	HOMDEL
MDL17-5117	6p	3	0	1585511	1585511	1	CNLOH BEFORE & LOSS
MDL17-5117	6q	3	0	94181987	110459538	0.85	CNLOH BEFORE & LOSS
MDL17-5117	8p	1	0	11559400	11766200	0.98	LOSS BEFORE & AFTER
MDL17-5117	9p	0	0	228700	228700	1	HOMDEL
MDL17-5117	11p	1	0	438300	438300	1	LOSS BEFORE & AFTER
MDL17-5117	11q	5	2	67718928	69901190	0.97	GAIN
MDL17-5117	13q	5	2	84910264	94679100	0.9	GAIN
MDL17-5117	14q	5	2	26895193	29467354	0.91	GAIN
MDL17-5117	15q	3	1	27727300	27727300	1	LOSS AFTER
MDL17-5117	16p	3	0	23552827	28768660	0.82	CNLOH BEFORE & LOSS
MDL17-5117	16q	5	2	36962370	43381422	0.85	GAIN
MDL17-5117	18p	5	2	14020200	14020200	1	GAIN
MDL17-5117	18q	2	1	54002000	57119100	0.95	DOUBLE LOSS AFTER
MDL17-5117	19p	2	0	13134926	13134926	1	LOSS BEFORE
MDL17-5117	20p	6	1	23357000	28143790	0.83	AMP
MDL17-5117	21q	6	0	27812400	32389400	0.86	AMP (LOH)
MDL17-5117	23q	4	0	88860225	90819225	0.98	CNLOH BEFORE
