sample	arm	tcn	lcn	cn_length	arm_length	frac_of_arm	cn_state
MDL17-379	1p	3	1	87685422	88022222	1	LOSS AFTER
MDL17-379	3p	4	2	18110416	18110416	1	TETRAPLOID
MDL17-379	4p	0	0	158400	158400	1	HOMDEL
MDL17-379	4q	3	1	71069543	83606442	0.85	LOSS AFTER
MDL17-379	5p	1	0	69100	69100	1	LOSS BEFORE & AFTER
MDL17-379	6p	3	1	28265911	28265911	1	LOSS AFTER
MDL17-379	6q	3	1	107921582	110595877	0.98	LOSS AFTER
MDL17-379	7p	1	0	18500	18500	1	LOSS BEFORE & AFTER
MDL17-379	9p	3	1	5368296.5	5368296.5	1	LOSS AFTER
MDL17-379	9q	3	1	92522371.5	93726812.5	0.99	LOSS AFTER
MDL17-379	10q	3	1	82266196	82356496	1	LOSS AFTER
MDL17-379	11q	6	3	66835800	66835800	1	AMP (BALANCED)
MDL17-379	13q	3	1	92040418	96101413	0.96	LOSS AFTER
MDL17-379	14q	3	1	62128500	66411416	0.94	LOSS AFTER
MDL17-379	15q	3	1	69108810	69108810	1	LOSS AFTER
MDL17-379	16p	6	3	27948704	29106304	0.96	AMP (BALANCED)
MDL17-379	17p	3	1	21187300	24641651.5	0.86	LOSS AFTER
MDL17-379	17q	4	2	47733340	57253845.5	0.83	TETRAPLOID
MDL17-379	18p	2	1	18113652.5	18113652.5	1	DOUBLE LOSS AFTER
MDL17-379	18q	2	1	62086347.5	62086347.5	1	DOUBLE LOSS AFTER
MDL17-379	19p	3	1	25737284	25737284	1	LOSS AFTER
MDL17-379	19q	3	1	27527471	32733750	0.84	LOSS AFTER
MDL17-379	20p	5	2	14652224	17428764	0.84	GAIN
MDL17-379	21q	5	2	32194747	34687789	0.93	GAIN
