sample	arm	tcn	lcn	cn_length	arm_length	frac_of_arm	cn_state
MDL17-5120	1p	3	1	41783700	52005900	0.8	GAIN
MDL17-5120	1q	6	2	98729395	102463757	0.96	AMP
MDL17-5120	2p	3	0	7508451	7508451	1	CNLOH & GAIN
MDL17-5120	3p	3	0	38971716	38971716	1	CNLOH & GAIN
MDL17-5120	3q	3	0	101052751	105511013	0.96	CNLOH & GAIN
MDL17-5120	4p	4	2	40742106	40781406	1	TETRAPLOID
MDL17-5120	4q	4	2	138920461	138920461	1	TETRAPLOID
MDL17-5120	5p	1	0	40100	40100	1	HETLOSS
MDL17-5120	6q	2	1	91994571	103570806	0.89	DIPLOID
MDL17-5120	10q	4	2	27935405	33003792	0.85	TETRAPLOID
MDL17-5120	11q	3	1	61592598	61592598	1	GAIN
MDL17-5120	12p	0	0	7000	7000	1	HOMDEL
MDL17-5120	12q	4	2	72603295	74846942	0.97	TETRAPLOID
MDL17-5120	13q	2	1	82733942	93402358	0.89	DIPLOID
MDL17-5120	14q	4	2	67386900	69938225	0.96	TETRAPLOID
MDL17-5120	15q	2	1	82087600	82087600	1	DIPLOID
MDL17-5120	16p	4	2	29635001	29635001	1	TETRAPLOID
MDL17-5120	16q	2	1	43265524	43353524	1	DIPLOID
MDL17-5120	18p	2	1	18113652.5	18113652.5	1	DIPLOID
MDL17-5120	18q	2	1	62086347.5	62086347.5	1	DIPLOID
MDL17-5120	19p	2	1	15857646	16861038	0.94	DIPLOID
MDL17-5120	20p	2	1	24564690	24564690	1	DIPLOID
MDL17-5120	21q	3	0	27491377	32740250	0.84	CNLOH & GAIN
MDL17-5120	23p	1	0	60224960.5	60224960.5	1	HETLOSS
