sample	arm	tcn	lcn	cn_length	arm_length	frac_of_arm	cn_state
X103	1p	2	1	95751991.5	104253791.5	0.92	DIPLOID
X103	1q	2	1	124344271.5	124344271.5	1	DIPLOID
X103	2p	2	1	75322651	93090151	0.81	DIPLOID
X103	3p	2	1	92016116	92016116	1	DIPLOID
X103	3q	2	1	105963097	105963097	1	DIPLOID
X103	4p	1	0	50674706	50674706	1	HETLOSS
X103	4q	1	0	139332394	139332394	1	HETLOSS
X103	5p	1	0	1829100	1829100	1	HETLOSS
X103	6p	2	1	59086011	59086011	1	DIPLOID
X103	8p	1	0	20088400	20088400	1	HETLOSS
X103	8q	1	0	80345983	80345983	1	HETLOSS
X103	9q	2	1	93779750.5	93779750.5	1	DIPLOID
X103	10p	1	0	38935100	38935100	1	HETLOSS
X103	11p	1	0	28200100	28200100	1	HETLOSS
X103	12p	1	0	1826800	1826800	1	HETLOSS
X103	16q	2	1	51405386.5	51405386.5	1	DIPLOID
X103	17p	1	0	24120523.5	24120523.5	1	HETLOSS
X103	17q	1	0	58257991.5	58502932.5	1	HETLOSS
X103	19p	2	1	20854527	25608627	0.81	DIPLOID
X103	20p	2	1	18192790	22336090	0.81	DIPLOID
X103	20q	2	1	36090610	36090610	1	DIPLOID
X103	21q	1	0	34746195	34746195	1	HETLOSS
X103	22q	1	0	33491475	33491475	1	HETLOSS
X103	23p	2	1	42343960.5	42343960.5	1	DIPLOID
